0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
217,132,161,136,15,0,282,121,0,52,84,0,143,194,0,197,0,0
112,1,79,229,0,0,531,13,0,1,0,9,49,348,0,183,0,0
199,34,183,84,0,0,430,51,0,31,5,0,77,416,0,249,0,0
51,214,118,52,68,20,250,106,0,103,160,0,125,249,0,175,0,0
224,2,63,320,0,0,305,23,0,0,0,128,47,235,0,164,0,0
116,46,124,34,188,85,87,55,47,74,56,0,100,80,33,117,86,17
121,20,231,107,0,0,415,52,0,5,0,0,105,470,0,415,0,0
434,59,109,260,0,0,206,78,0,31,17,100,87,124,0,124,0,0
171,39,227,0,0,0,52,124,0,36,7,0,126,184,0,262,0,0
106,43,444,0,12,2,7,202,0,33,13,0,187,96,0,402,0,0
456,32,111,145,0,0,285,50,0,15,1,11,80,186,0,153,0,0
19,0,34,283,0,0,561,1,0,0,0,42,3,413,0,150,0,0
38,42,173,330,0,0,329,172,0,8,2,96,166,182,0,141,0,0
132,62,183,70,9,0,358,108,0,48,30,0,151,393,0,247,0,0
229,210,171,0,19,0,12,171,6,88,32,0,147,71,0,115,16,0
22,8,258,116,18,14,424,27,10,5,0,4,103,464,3,287,17,0
4,321,162,0,13,3,18,279,4,56,74,0,238,81,0,191,26,0
145,168,23,0,129,74,1,79,11,97,111,0,51,8,45,25,101,10
