0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2,275,207,0,36,3,18,255,11,58,104,0,190,122,13,242,37,2
45,0,114,241,7,0,522,14,3,0,0,25,51,310,0,146,10,0
303,22,101,290,0,0,251,59,0,10,4,183,81,226,0,125,0,0
222,15,59,361,2,0,442,14,0,6,6,42,23,246,0,132,0,0
13,25,116,373,0,0,339,72,0,15,6,122,94,187,0,112,0,0
331,120,186,0,35,14,16,120,1,79,44,0,151,123,9,177,30,7
298,12,148,170,56,32,433,23,29,13,4,0,78,390,6,227,50,0
128,313,228,0,59,22,0,303,5,116,64,0,200,9,3,80,15,1
0,16,236,26,12,7,298,48,2,9,0,0,83,393,0,300,0,0
207,55,199,40,3,0,233,103,0,45,18,0,127,236,0,222,0,0
276,24,92,251,2,0,455,11,1,14,1,18,50,177,1,100,12,2
259,53,193,0,88,39,28,98,0,53,62,0,143,172,12,265,2,0
41,34,224,0,81,61,45,102,0,68,57,0,179,271,17,372,13,0
94,177,303,3,39,8,109,131,6,70,109,0,178,258,7,319,38,0
341,79,143,44,12,3,127,127,0,44,26,0,107,136,0,251,0,0
0,172,135,73,11,2,367,165,0,36,74,0,170,334,0,227,0,0
114,24,86,196,11,6,481,21,7,23,0,0,31,286,3,129,31,0
122,17,84,98,17,1,389,46,13,24,13,0,49,318,10,171,8,15
