0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
116,25,198,117,5,0,380,82,0,11,0,0,127,397,0,330,3,0
386,48,117,271,0,0,199,76,0,27,16,103,86,133,0,133,0,0
170,75,210,52,9,0,322,135,0,50,32,0,171,368,0,239,0,0
28,53,174,329,0,0,326,165,0,8,3,93,173,168,0,159,0,0
211,46,136,68,112,44,165,69,31,54,34,0,106,109,26,139,51,17
344,34,256,0,6,0,21,154,0,27,12,0,160,107,0,235,0,0
166,11,164,154,0,0,463,38,0,4,0,0,63,467,0,349,0,0
167,117,174,153,11,0,302,105,0,37,43,0,128,196,0,199,0,0
1,46,400,0,12,7,4,167,0,8,10,0,117,133,0,336,0,1
238,2,63,346,0,0,327,23,0,0,0,136,42,256,0,139,0,0
2,371,116,0,13,0,18,282,7,83,80,0,239,68,0,151,27,0
7,0,10,261,0,0,549,1,0,0,0,39,2,401,0,132,0,0
96,193,99,72,59,12,295,96,0,88,172,0,118,229,0,142,0,0
115,34,221,79,2,0,458,54,0,31,7,0,90,447,0,325,0,0
307,23,114,141,0,0,253,39,0,15,0,15,79,169,0,125,0,0
25,10,239,123,36,19,436,32,9,11,0,4,105,466,4,295,28,0
341,139,138,0,37,8,35,124,2,106,62,0,139,80,0,144,0,2
76,206,25,0,169,108,0,70,29,123,121,0,40,0,51,25,137,7
